stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	8.05	6.0	4.98	4.0	3.0	2.99	{}	n/a	n/a	n/a
5.mp4	2.03	4.02	5.96	1.0	3.0	3.02	{}	n/a	n/a	n/a
24.mp4	1.12	1.78	4.92	1.0	3.0	1.37	{}	n/a	n/a	n/a
12.m4v	8.88	8.92	4.98	5.0	5.0	4.62	{'1': [u'Delighted: Feeling or showing great pleasure', u'', u'', u'', ''], '0': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '2': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['very much', 'quit a bit', 'very much']	[11.836191892623901, 24.773504972457886, 56.05767607688904]
neutral_2.mp4	4.75	2.9	3.96	2.0	2.0	1.0	{}	n/a	n/a	n/a
9.m4v	7.03	7.08	5.08	4.0	5.0	2.03	{'1': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '0': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', '']}	HVHA	['very much', 'very much']	[24.656985998153687, 50.63235402107239]
16.mp4	1.0	6.93	8.88	1.0	4.0	1.49	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Depressed: in a state of unhappiness or despondency', u'', '']}	HVHA	['quit a bit', 'quit a bit']	[30.045675039291382, 49.00959086418152]
27.mp4	1.8	1.91	4.88	1.0	1.0	1.01	{}	n/a	n/a	n/a
1.mp4	2.07	6.22	6.02	3.0	5.0	1.86	{'0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['moderately']	[34.38740015029907]
15.mp4	1.2	6.45	5.37	1.0	1.0	1.12	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '2': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}	HVHA	['quit a bit', 'moderately', 'moderately']	[39.51304793357849, 48.29393196105957, 56.80773878097534]
7.mp4	1.0	3.26	5.95	1.0	1.0	1.19	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit', 'a little']	[38.61370587348938, 41.85221791267395]
